Glyph,Unicode,Category,Concept,Operation,Weight
𐡀,U+10840,Source,INIT,STACK_PUSH,1
𐡁,U+10841,Container,STORE,MEMORY_ALLOC,2
𐡂,U+10842,Pathway,BRIDGE,POINTER_JUMP,3
𐡃,U+10843,Permission,GATE,CONDITIONAL_IF,4
𐡄,U+10844,Manifestation,REVEAL,EXEC_TRIGGER,5
𐡅,U+10845,Connection,LINK,STRING_APPEND,6
𐡆,U+10846,Movement,SHIFT,BIT_SHIFT,7
𐡇,U+10847,Protection,BARRIER,STREAM_STOP,8
𐡈,U+10848,Cyclic,ROTATION,LOOP_START,9
𐡉,U+10849,Increment,STEP,PTR_INC,10
𐡊,U+1084A,Duplicate,CLONE,DATA_DUP,20
𐡋,U+1084B,Purpose,DIRECT,REGISTER_SET,30
𐡌,U+1084C,Constant,FLOW,STREAM_DATA,40
𐡍,U+1084D,Decrement,DESCEND,PTR_DEC,50
𐡎,U+1084E,Support,BUFFER,CACHE_STORE,60
𐡏,U+1084F,Observation,SCAN,READ_INPUT,70
𐡐,U+10850,Output,VOICE,STD_OUT,80
𐡑,U+10851,Identification,HUNT,FIND_PATTERN,90
𐡒,U+10852,Retrieval,RECALL,MEM_READ,100
𐡓,U+10853,Processing,PARSE,HDR_PARSE,200
𐡔,U+10854,Optimization,COMPRESS,DATA_OPT,300
𐡕,U+10855,Permanence,SEAL,COMMIT_STATE,400
𐡟,U+1085F,Modulator,GAIN_1,FREQ_SHIFT,1
𐡙,U+10859,Modulator,GAIN_10,FREQ_SHIFT,10
𐡘,U+10858,Modulator,GAIN_100,FREQ_SHIFT,100
𐡗,U+10857,Modulator,GAIN_1000,FREQ_SHIFT,1000
𐡶,U+10876,Math,ADD,MATH_ADD,0
𐡵,U+10875,Math,SUB,MATH_SUB,0
𐡹,U+10879,Concurrency,PULSE,PARALLEL_PULSE,0
𐡿,U+1087F,System,SHELL,OS_SHELL,0
𐢀,U+10880,System,LAUNCH,OS_APP,0
𐢁,U+10881,System,PRESS,OS_KEY,0
𐢂,U+10882,System,WRITE,OS_WRITE,0
𐢃,U+10883,System,CLICK,OS_CLICK,0
𐡸,U+10878,Neural,BRAIN,NEURAL_PULSE,0
𐢄,U+10884,Tensor,MUL,TENSOR_MUL,0
𐢅,U+10885,Tensor,NORM,RMS_NORM,0
𐢆,U+10886,Tensor,SOFT,SOFTMAX,0
𐢇,U+10887,Tensor,LOAD,LOAD_TENSOR,0
𐢈,U+10888,System,WAIT,WAIT_INPUT,0
乘,U+4E58,Math-Mandarin,MULTIPLY,MATH_MUL,0
加,U+52A0,Math-Mandarin,ADD,MATH_ADD,0
减,U+51CF,Math-Mandarin,SUBTRACT,MATH_SUB,0
除,U+9664,Math-Mandarin,DIVIDE,MATH_DIV,0
积,U+79EF,Math-Mandarin,PRODUCT,MATH_RESULT,0
频,U+9891,Math-Mandarin,FREQUENCY,RESONANCE_CALC,0
和,U+548C,Math-Mandarin,HARMONY,HARMONIC_SUM,0
WIFI_INIT,,Network,INIT_WIFI,WIFI_DRIVER_LOAD,0
WIFI_CONNECT,,Network,CONNECT_AP,WIFI_ASSOC,0
WIFI_STATUS,,Network,QUERY_WIFI,WIFI_STATE_READ,0
WIFI_CREDS_LOAD,,Network,LOAD_CREDS,READ_WIFI_CONFIG,0
PING,,Network,ICMP_PING,PING_HOST,0
HTTP_GET,,Network,HTTP_FETCH,GET_REQUEST,0
HTTP_POST,,Network,HTTP_SEND,POST_REQUEST,0
SOCKET_OPEN,,Network,SOCKET_INIT,TCP_OPEN,0
SOCKET_SEND,,Network,SOCKET_TX,TCP_WRITE,0
SOCKET_RECV,,Network,SOCKET_RX,TCP_READ,0
CPU_INIT,,Arch-x86,INIT_CPU,CPU_BOOT,0
CPUID_QUERY,,Arch-x86,QUERY_CPU,CPUID_EXEC,0
GDT_LOAD,,Arch-x86,LOAD_GDT,LGDT_INSTR,0
GDT_ENTRY,,Arch-x86,GDT_DESCRIPTOR,GDT_WRITE,0
IDT_LOAD,,Arch-x86,LOAD_IDT,LIDT_INSTR,0
IDT_ENTRY,,Arch-x86,IDT_DESCRIPTOR,IDT_WRITE,0
MSR_WRITE,,Arch-x86,WRITE_MSR,WRMSR_INSTR,0
MSR_READ,,Arch-x86,READ_MSR,RDMSR_INSTR,0
PAGING_ENABLE,,Arch-x86,ENABLE_MMU,CR0_SET,0
PAGE_TABLE_INIT,,Arch-x86,INIT_PAGETBL,PML4_INIT,0
PAGE_MAP_IDENTITY,,Arch-x86,MAP_IDENTITY,IDENTITY_MAP,0
PAGE_MAP_MMIO,,Arch-x86,MAP_MMIO,MMIO_MAP,0
LAPIC_INIT,,Arch-x86,INIT_LAPIC,LOCAL_APIC_INIT,0
IOAPIC_INIT,,Arch-x86,INIT_IOAPIC,IO_APIC_INIT,0
TSC_READ,,Arch-x86,READ_TSC,RDTSC_INSTR,0
RDRAND,,Arch-x86,HW_RANDOM,RDRAND_INSTR,0
XSAVE_INIT,,Arch-x86,INIT_FPU,XSAVE_ENABLE,0
SYSCALL_INIT,,Arch-x86,INIT_SYSCALL,SYSCALL_SETUP,0
SOVEREIGN_SYSCALL_ENTRY,,Arch-x86,SYSCALL_ENTRY,SYSCALL_HANDLER,0
PHYS_MEM_MAP,,Memory,MAP_PHYS,E820_READ,0
PAGE_ALLOC,,Memory,ALLOC_PAGE,BUDDY_ALLOC,0
PAGE_FREE,,Memory,FREE_PAGE,BUDDY_FREE,0
PAGE_MAP_RANGE,,Memory,MAP_RANGE,PTE_WRITE,0
HEAP_INIT,,Memory,INIT_HEAP,HEAP_BOOTSTRAP,0
HEAP_ALLOC,,Memory,ALLOC_HEAP,KMALLOC,0
HEAP_FREE,,Memory,FREE_HEAP,KFREE,0
SLAB_INIT,,Memory,INIT_SLAB,CACHE_CREATE,0
SLAB_ALLOC,,Memory,ALLOC_SLAB,KMEM_CACHE_ALLOC,0
VMALLOC,,Memory,ALLOC_VIRT,VMALLOC_CALL,0
VFREE,,Memory,FREE_VIRT,VFREE_CALL,0
HUGE_PAGE_ALLOC,,Memory,ALLOC_HUGE,HUGETLB_ALLOC,0
DMA_ALLOC,,Memory,ALLOC_DMA,DMA_COHERENT,0
DMA_MAP,,Memory,MAP_DMA,DMA_MAP_SINGLE,0
DMA_UNMAP,,Memory,UNMAP_DMA,DMA_UNMAP_SINGLE,0
MMAP,,Memory,MAP_FILE,DO_MMAP,0
MUNMAP,,Memory,UNMAP_FILE,DO_MUNMAP,0
CACHE_FLUSH,,Memory,FLUSH_CACHE,CLFLUSH,0
TLB_FLUSH,,Memory,FLUSH_TLB,INVLPG,0
MEM_PRESSURE,,Memory,PRESSURE_READ,VMPRESSURE,0
TASK_INIT,,Scheduler,INIT_TASK,PROC_CREATE,0
TASK_SPAWN,,Scheduler,SPAWN_TASK,PROC_START,0
TASK_KILL,,Scheduler,KILL_TASK,PROC_STOP,0
TASK_SLEEP,,Scheduler,SLEEP_TASK,PROC_YIELD,0
TASK_WAKE,,Scheduler,WAKE_TASK,PROC_RESUME,0
TASK_PRIORITY,,Scheduler,SET_PRIORITY,SCHED_PARAM,0
SCHED_TICK,,Scheduler,TICK_SCHED,TIMER_INT,0
SCHED_YIELD,,Scheduler,YIELD_SCHED,SCHED_YIELD,0
SCHED_RUN,,Scheduler,RUN_SCHED,CONTEXT_SWITCH,0
CONTEXT_SAVE,,Scheduler,SAVE_CTX,PUSH_REGS,0
CONTEXT_RESTORE,,Scheduler,RESTORE_CTX,POP_REGS,0
SPINLOCK_INIT,,Scheduler,INIT_SLOCK,SPIN_INIT,0
SPINLOCK_LOCK,,Scheduler,ACQ_SLOCK,SPIN_LOCK,0
SPINLOCK_UNLOCK,,Scheduler,REL_SLOCK,SPIN_UNLOCK,0
MUTEX_INIT,,Scheduler,INIT_MUTEX,MUTEX_CREATE,0
MUTEX_LOCK,,Scheduler,ACQ_MUTEX,MUTEX_ACQUIRE,0
